1.27,0,1.76545,2.034,0,1.41421,0.840951,0,0,0.662166
1.28,0,1.77959,2.04245,0,1.41421,0.847573,0,0,0.662166
1.29,0,1.79373,2.05096,0,1.41421,0.854195,0,0,0.662166
1.3,0,1.80788,2.05953,0,1.41421,0.860816,0,0,0.662166
1.31,0,1.82202,2.06817,0,1.41421,0.867438,0,0,0.662166
1.32,0,1.83616,2.07688,0,1.41421,0.87406,0,0,0.662166
1.33,0,1.8503,2.08565,0,1.41421,0.880681,0,0,0.662166
1.34,0,1.86444,2.09449,0,1.41421,0.887303,0,0,0.662166
1.35,0,1.87859,2.1034,0,1.41421,0.893925,0,0,0.662166
1.36,0,1.89273,2.11237,0,1.41421,0.900546,0,0,0.662166
1.37,0,1.90687,2.12141,0,1.41421,0.907168,0,0,0.662166
1.38,0,1.92101,2.13051,0,1.41421,0.91379,0,0,0.662166
1.39,0,1.93516,2.13969,0,1.41421,0.920411,0,0,0.662166
1.4,0,1.9493,2.14892,0,1.41421,0.927033,0,0,0.662166
1.41,0,1.96344,2.15823,0,1.41421,0.933655,0,0,0.662166
1.42,0,1.97758,2.1676,0,1.41421,0.940276,0,0,0.662166
1.43,0,1.99172,2.17703,0,1.41421,0.946898,0,0,0.662166
1.44,0,2.00587,2.18653,0,1.41421,0.95352,0,0,0.662166
1.45,0,2.02001,2.1961,0,1.41421,0.960141,0,0,0.662166
1.46,0,2.03415,2.20574,0,1.41421,0.966763,0,0,0.662166
1.47,0,2.04829,2.21544,0,1.41421,0.973385,0,0,0.662166
1.48,0,2.06243,2.2252,0,1.41421,0.980006,0,0,0.662166
1.49,0,2.07658,2.23504,0,1.41421,0.986628,0,0,0.662166
1.5,0,2.09072,2.24494,0,1.41421,0.99325,0,0,0.662166
1.51,0,2.10486,2.2549,0,1.41421,0.999871,0,0,0.662166
1.52,0,2.119,2.26493,0,1.41421,1.00649,0,0,0.662166
1.53,0,2.13315,2.27503,0,1.41421,1.01311,0,0,0.662166
1.54,0,2.14729,2.2852,0,1.41421,1.01974,0,0,0.662166
1.55,0,2.16143,2.29543,0,1.41421,1.02636,0,0,0.662166
1.56,0,2.17557,2.30572,0,1.41421,1.03298,0,0,0.662166
1.57,0,2.18971,2.31609,0,1.41421,1.0396,0,0,0.662166
1.58,0,2.20386,2.32652,0,1.41421,1.04622,0,0,0.662166
1.59,0,2.218,2.33701,0,1.41421,1.05284,0,0,0.662166
1.6,0,2.23214,2.34757,0,1.41421,1.05947,0,0,0.662166
1.61,0,2.24628,2.3582,0,1.41421,1.06609,0,0,0.662166
1.62,0,2.26042,2.36889,0,1.41421,1.07271,0,0,0.662166
1.63,0,2.27457,2.37965,0,1.41421,1.07933,0,0,0.662166
1.64,0,2.28871,2.39048,0,1.41421,1.08595,0,0,0.662166
1.65,0,2.30285,2.40137,0,1.41421,1.09257,0,0,0.662166
1.66,0,2.31699,2.41233,0,1.41421,1.0992,0,0,0.662166
1.67,0,2.33113,2.42336,0,1.41421,1.10582,0,0,0.662166
1.68,0,2.34528,2.43445,0,1.41421,1.11244,0,0,0.662166
